"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0264475",323.371359776931,-2.337548430732,0.220355690629254,-10.6080692722608,2.73338865560871e-26,1.35900667221046e-23
"FBgn0035542",363.527603641676,-1.10736918996523,0.197518587347302,-5.60640497098185,2.06572308719685e-08,1.39261247107211e-06
"FBgn0026376",809.400321285206,-1.11701261104296,0.155760986197729,-7.17132472200055,7.42754909285142e-13,1.00146022090903e-10
"FBgn0035968",179.377709298059,1.16521025856543,0.242354654814117,4.80787241102972,1.52545068153264e-06,6.15987825969144e-05
"FBgn0267635",98.6553676172512,1.14476677738585,0.31825745599988,3.59698337243758,0.000321929053888273,0.00682918832981656
"FBgn0263042",28.1181863386366,-1.93015446156099,0.598744267186441,-3.22367088478521,0.001265587619579,0.0211952621342125
"FBgn0016715",89.3322812192292,-2.05875215776096,0.359241214968732,-5.73083508232805,9.99373959432751e-09,7.36112948822919e-07
"FBgn0002945",33.5145954568244,-1.67150527234541,0.54047811787012,-3.09264189812599,0.00198383365294311,0.029945724305811
"FBgn0001224",433.774184194001,1.46455270949621,0.184072152468697,7.95640562602356,1.77109109964873e-15,3.70763939413306e-13
"FBgn0052407",87.0000915467185,-2.80337294580087,0.374379003810132,-7.48806134230382,6.98983591714114e-14,1.13477846369098e-11
"FBgn0035523",30.5562965447566,1.88285094691436,0.619280034041688,3.04038697102193,0.00236274357463938,0.0344862571804818
"FBgn0000116",481.138045352547,1.45827154642208,0.171019900809186,8.52691142681185,1.5030686696071e-17,3.85706815055627e-15
"FBgn0020248",25.1618946016406,2.88087317614068,0.686807386117474,4.19458677115613,2.73369490694473e-05,0.000793669451998005
"FBgn0001226",939.975290131472,1.63947821814337,0.161324927438748,10.1625845687477,2.91251459599479e-24,1.21942387427045e-21
"FBgn0036985",1176.27727962912,-1.24529949599495,0.132685599349888,-9.38534024865149,6.27136263977457e-21,1.99554759197627e-18
"FBgn0036821",278.277154443001,-2.07188733431583,0.21954060742067,-9.43737634079607,3.8223009966244e-21,1.26693351783946e-18
"FBgn0023479",1858.3275540601,-1.63292058553122,0.129412599230352,-12.6179413383441,1.6815992109017e-36,1.48634685808034e-33
"FBgn0029002",1145.73155913749,1.20109272321841,0.147158368540098,8.16190567436966,3.29779696383299e-16,7.09026347224092e-14
"FBgn0029167",2192.20504543354,-2.29487962082586,0.129340937524153,-17.742871396748,1.95675393989836e-70,3.11319551837829e-67
"FBgn0035727",49.4940639514072,1.47001581836088,0.445958976476171,3.29630278994827,0.000979663674036032,0.0173182767265703
