"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
10.3829212705998,0.141197233358482,0.378601191955551,0.37899699220924,NA,"FBgn0051163"
88.5778144966105,0.0266718208081492,0.141663401648222,1,1,"FBgn0039189"
13585.2592164278,-0.0262234730941824,0.0683431356634444,1,1,"FBgn0039858"
54.3811469561966,0.159969768128447,0.262470042968688,1,1,"FBgn0261561"
462.785283399627,0.0240317723964357,0.0928274558016471,1,1,"FBgn0002905"
3231.06953389879,0.106646429045413,0.106044705342525,1,1,"FBgn0003676"
110.136590105796,0.234739883769973,0.261761006434135,1,1,"FBgn0038815"
254.863307668857,0.0961496383897837,0.144807097032068,1,1,"FBgn0015569"
25.4812230380703,-0.0427705908499573,0.200079669849579,1,1,"FBgn0067317"
796.427907577995,0.102813449964523,0.121053426846723,1,1,"FBgn0039544"
146.025715947161,0.00016161162452289,0.124392388311936,1,1,"FBgn0039233"
906.583111663459,0.0257360211698631,0.0834252174055974,1,1,"FBgn0288631"
2.72345898400165,-0.00689347321353944,0.255100665968068,1,NA,"FBgn0039225"
2.99679447572388,0.0094205759091061,0.254725243666257,1,NA,"FBgn0264431"
23.6602845098245,-0.363905993043601,0.550653768925947,0.249820591507345,1,"FBgn0002609"
7.46551411818268,0.034552850506689,0.239034679674382,1,NA,"FBgn0037898"
282.424264005462,-0.0610969254517495,0.131789619627122,1,1,"FBgn0038037"
14.4114745592187,-0.0174654647268332,0.205599471437269,1,1,"FBgn0037449"
3387.99173905658,0.110463087891101,0.102319386578648,1,1,"FBgn0002924"
10.6140771522177,-0.0409643042931108,0.231519097180838,1,NA,"FBgn0037623"
261.881383139264,-0.0347557923040725,0.111202491319268,1,1,"FBgn0038989"
229.681498539536,-0.000965195047907061,0.113740584995746,1,1,"FBgn0037608"
6.67065509468332,-0.0213738221695476,0.238468250706995,1,NA,"FBgn0037483"
656.087647069255,-0.0192782361081927,0.0882107433165606,1,1,"FBgn0028476"
373.552567380022,0.111970088740029,0.142646876549637,1,1,"FBgn0038046"
7.86922157109144,0.0735460359718017,0.308410887305522,0.53408379454907,NA,"FBti0019334"
2.53998075522311,0.009580547051982,0.263606225761634,1,NA,"FBgn0051202"
2.81939984686756,0.00657541399420292,0.254939119033716,1,NA,"FBgn0267764"
1463.57628146336,-0.220883528056099,0.133554024166976,1,1,"FBgn0038349"
527.849165915461,-0.0349253342461744,0.0963408658284114,1,1,"FBgn0010441"
755.392023825759,-0.0237141997235176,0.0857589815124088,1,1,"FBgn0039402"
155.215387518674,-0.0970474335940105,0.168479438388125,1,1,"FBgn0037715"
2.83594303617056,0.00721264288656922,0.255886361422919,1,NA,"FBgn0010399"
635.257758443822,-0.308121300340721,0.17017007260919,1,1,"FBgn0267975"
